,0
882,26.667528
883,26.686127
884,26.685183
885,26.663923
886,26.619408
887,26.557035
888,26.502037
889,26.4598
890,26.44395
891,26.446201
892,26.469576
893,26.516117
894,26.566452
895,26.616188
896,26.669628
897,26.749578
898,26.85451
899,26.949062
900,27.065804
901,27.197638
902,27.341143
903,27.495415
904,27.656023
905,27.806847
906,27.946499
907,28.053305
908,28.141773
909,28.242973
910,28.325062
911,28.40501
912,28.469296
913,28.519245
914,28.543827
915,28.547028
916,28.528881
917,28.523687
918,28.528126
919,28.532513
920,28.522924
921,28.509508
922,28.499262
923,28.48074
924,28.456444
925,28.427073
926,28.413866
927,28.420141
928,28.445742
929,28.478384
930,28.520954
931,28.566711
932,28.624977
933,28.664917
